page,page_id,artwork_status,educational_review,design_review,illustration_review,accessibility_review,publishing_review,final_decision
1,CT-NURSERY-V5-P001,not_started,pending,pending,pending,pending,pending,blocked
2,CT-NURSERY-V5-P002,not_started,pending,pending,pending,pending,pending,blocked
3,CT-NURSERY-V5-P003,not_started,pending,pending,pending,pending,pending,blocked
4,CT-NURSERY-V5-P004,not_started,pending,pending,pending,pending,pending,blocked
5,CT-NURSERY-V5-P005,not_started,pending,pending,pending,pending,pending,blocked
6,CT-NURSERY-V5-P006,not_started,pending,pending,pending,pending,pending,blocked
7,CT-NURSERY-V5-P007,not_started,pending,pending,pending,pending,pending,blocked
8,CT-NURSERY-V5-P008,not_started,pending,pending,pending,pending,pending,blocked
9,CT-NURSERY-V5-P009,not_started,pending,pending,pending,pending,pending,blocked
10,CT-NURSERY-V5-P010,not_started,pending,pending,pending,pending,pending,blocked
11,CT-NURSERY-V5-P011,not_started,pending,pending,pending,pending,pending,blocked
12,CT-NURSERY-V5-P012,not_started,pending,pending,pending,pending,pending,blocked
13,CT-NURSERY-V5-P013,not_started,pending,pending,pending,pending,pending,blocked
14,CT-NURSERY-V5-P014,not_started,pending,pending,pending,pending,pending,blocked
15,CT-NURSERY-V5-P015,not_started,pending,pending,pending,pending,pending,blocked
16,CT-NURSERY-V5-P016,not_started,pending,pending,pending,pending,pending,blocked
17,CT-NURSERY-V5-P017,not_started,pending,pending,pending,pending,pending,blocked
18,CT-NURSERY-V5-P018,not_started,pending,pending,pending,pending,pending,blocked
19,CT-NURSERY-V5-P019,not_started,pending,pending,pending,pending,pending,blocked
20,CT-NURSERY-V5-P020,not_started,pending,pending,pending,pending,pending,blocked
21,CT-NURSERY-V5-P021,not_started,pending,pending,pending,pending,pending,blocked
22,CT-NURSERY-V5-P022,not_started,pending,pending,pending,pending,pending,blocked
23,CT-NURSERY-V5-P023,not_started,pending,pending,pending,pending,pending,blocked
24,CT-NURSERY-V5-P024,not_started,pending,pending,pending,pending,pending,blocked
25,CT-NURSERY-V5-P025,not_started,pending,pending,pending,pending,pending,blocked
26,CT-NURSERY-V5-P026,not_started,pending,pending,pending,pending,pending,blocked
27,CT-NURSERY-V5-P027,not_started,pending,pending,pending,pending,pending,blocked
28,CT-NURSERY-V5-P028,not_started,pending,pending,pending,pending,pending,blocked
29,CT-NURSERY-V5-P029,not_started,pending,pending,pending,pending,pending,blocked
30,CT-NURSERY-V5-P030,not_started,pending,pending,pending,pending,pending,blocked
31,CT-NURSERY-V5-P031,not_started,pending,pending,pending,pending,pending,blocked
32,CT-NURSERY-V5-P032,not_started,pending,pending,pending,pending,pending,blocked
33,CT-NURSERY-V5-P033,not_started,pending,pending,pending,pending,pending,blocked
34,CT-NURSERY-V5-P034,not_started,pending,pending,pending,pending,pending,blocked
35,CT-NURSERY-V5-P035,not_started,pending,pending,pending,pending,pending,blocked
36,CT-NURSERY-V5-P036,not_started,pending,pending,pending,pending,pending,blocked
37,CT-NURSERY-V5-P037,not_started,pending,pending,pending,pending,pending,blocked
38,CT-NURSERY-V5-P038,not_started,pending,pending,pending,pending,pending,blocked
39,CT-NURSERY-V5-P039,not_started,pending,pending,pending,pending,pending,blocked
40,CT-NURSERY-V5-P040,not_started,pending,pending,pending,pending,pending,blocked
41,CT-NURSERY-V5-P041,not_started,pending,pending,pending,pending,pending,blocked
42,CT-NURSERY-V5-P042,not_started,pending,pending,pending,pending,pending,blocked
43,CT-NURSERY-V5-P043,not_started,pending,pending,pending,pending,pending,blocked
44,CT-NURSERY-V5-P044,not_started,pending,pending,pending,pending,pending,blocked
