physical_page,page_id,title,module,primary_pillar,status
1,CB-NURSERY-P001,Confidence Builders,Opening,Believe in Myself,production_ready
2,CB-NURSERY-P002,This Book Belongs to Me,Opening,Believe in Myself,production_ready
3,CB-NURSERY-P003,Meet Star,Opening,Speak with Confidence,production_ready
4,CB-NURSERY-P004,I Can Try,Opening,Try New Things,production_ready
5,CB-NURSERY-P005,This Is Me,Knowing Myself,Believe in Myself,production_ready
6,CB-NURSERY-P006,My Happy Face,Knowing Myself,Believe in Myself,production_ready
7,CB-NURSERY-P007,Things I Like,Knowing Myself,Speak with Confidence,production_ready
8,CB-NURSERY-P008,I Can Choose,Knowing Myself,Believe in Myself,production_ready
9,CB-NURSERY-P009,My Special Talent,Knowing Myself,Believe in Myself,production_ready
10,CB-NURSERY-P010,I Can Say My Name,Knowing Myself,Speak with Confidence,production_ready
11,CB-NURSERY-P011,I Am Proud of Me,Knowing Myself,Believe in Myself,production_ready
12,CB-NURSERY-P012,Try One Small Step,Trying New Things,Try New Things,production_ready
13,CB-NURSERY-P013,I Can Do It Slowly,Trying New Things,Try New Things,production_ready
14,CB-NURSERY-P014,Try Again,Trying New Things,Solve Small Problems,production_ready
15,CB-NURSERY-P015,New Food Adventure,Trying New Things,Try New Things,production_ready
16,CB-NURSERY-P016,Join the Game,Trying New Things,Speak with Confidence,production_ready
17,CB-NURSERY-P017,Ask for Help,Trying New Things,Speak with Confidence,production_ready
18,CB-NURSERY-P018,Celebrate My Effort,Trying New Things,Believe in Myself,production_ready
19,CB-NURSERY-P019,How Do I Feel?,Feelings and Courage,Speak with Confidence,production_ready
20,CB-NURSERY-P020,When I Feel Shy,Feelings and Courage,Believe in Myself,production_ready
21,CB-NURSERY-P021,Calm My Body,Feelings and Courage,Solve Small Problems,production_ready
22,CB-NURSERY-P022,Say What I Need,Feelings and Courage,Speak with Confidence,production_ready
23,CB-NURSERY-P023,Brave Little Voice,Feelings and Courage,Speak with Confidence,production_ready
24,CB-NURSERY-P024,It Is Okay to Make Mistakes,Feelings and Courage,Try New Things,production_ready
25,CB-NURSERY-P025,I Can Feel Better,Feelings and Courage,Solve Small Problems,production_ready
26,CB-NURSERY-P026,Choose a Solution,Small Problems,Solve Small Problems,production_ready
27,CB-NURSERY-P027,Fix the Puzzle,Small Problems,Solve Small Problems,production_ready
28,CB-NURSERY-P028,Share and Take Turns,Small Problems,Speak with Confidence,production_ready
29,CB-NURSERY-P029,Find Another Way,Small Problems,Solve Small Problems,production_ready
30,CB-NURSERY-P030,What Can I Do Next?,Small Problems,Solve Small Problems,production_ready
31,CB-NURSERY-P031,Help a Friend,Small Problems,Speak with Confidence,production_ready
32,CB-NURSERY-P032,I Solved It,Small Problems,Believe in Myself,production_ready
33,CB-NURSERY-P033,Stand Tall,Confident Communication,Speak with Confidence,production_ready
34,CB-NURSERY-P034,Look and Listen,Confident Communication,Speak with Confidence,production_ready
35,CB-NURSERY-P035,Say It Clearly,Confident Communication,Speak with Confidence,production_ready
36,CB-NURSERY-P036,My Turn to Speak,Confident Communication,Speak with Confidence,production_ready
37,CB-NURSERY-P037,Kind Words,Confident Communication,Speak with Confidence,production_ready
38,CB-NURSERY-P038,Tell My Idea,Confident Communication,Speak with Confidence,production_ready
39,CB-NURSERY-P039,Speak to the Group,Confident Communication,Believe in Myself,production_ready
40,CB-NURSERY-P040,My Big Challenge,Growing Confidence,Try New Things,production_ready
41,CB-NURSERY-P041,My Confidence Ladder,Growing Confidence,Believe in Myself,production_ready
42,CB-NURSERY-P042,I Can Help,Growing Confidence,Speak with Confidence,production_ready
43,CB-NURSERY-P043,Show What I Can Do,Growing Confidence,Believe in Myself,production_ready
44,CB-NURSERY-P044,I Am a Confidence Builder,Celebration,Believe in Myself,production_ready
