page,prompt_id,page_type,module,title
1,FM-NURSERY-V5-P001,Front Cover,Front Matter,Fine Motor Fun
2,FM-NURSERY-V5-P002,Inside Cover / Book Information,Front Matter,About This Book
3,FM-NURSERY-V5-P003,This Book Belongs To,Front Matter,This Book Belongs To
4,FM-NURSERY-V5-P004,Core Learning,Ready Hands,Open and Close
5,FM-NURSERY-V5-P005,Core Learning,Ready Hands,Finger Tap
6,FM-NURSERY-V5-P006,Core Learning,Ready Hands,Thumb Touch
7,FM-NURSERY-V5-P007,Core Learning,Ready Hands,Pinch and Pick
8,FM-NURSERY-V5-P008,Core Learning,Ready Hands,Squeeze and Release
9,FM-NURSERY-V5-P009,Core Learning,Ready Hands,Roll the Dough
10,FM-NURSERY-V5-P010,Core Learning,Ready Hands,Press the Dots
11,FM-NURSERY-V5-P011,Core Learning,Ready Hands,Tear the Paper
12,FM-NURSERY-V5-P012,Core Learning,Lines and Paths,Trace Up
13,FM-NURSERY-V5-P013,Core Learning,Lines and Paths,Trace Down
14,FM-NURSERY-V5-P014,Core Learning,Lines and Paths,Side to Side
15,FM-NURSERY-V5-P015,Core Learning,Lines and Paths,Round and Round
16,FM-NURSERY-V5-P016,Core Learning,Lines and Paths,Zigzag Trail
17,FM-NURSERY-V5-P017,Core Learning,Lines and Paths,Wavy Road
18,FM-NURSERY-V5-P018,Core Learning,Lines and Paths,Follow the Path
19,FM-NURSERY-V5-P019,Core Learning,Lines and Paths,Stay on the Track
20,FM-NURSERY-V5-P020,Core Learning,"Pick, Place and Build",Move the Pom-Poms
21,FM-NURSERY-V5-P021,Core Learning,"Pick, Place and Build",Sort with Tongs
22,FM-NURSERY-V5-P022,Core Learning,"Pick, Place and Build",Thread the Beads
23,FM-NURSERY-V5-P023,Core Learning,"Pick, Place and Build",Stack the Blocks
24,FM-NURSERY-V5-P024,Core Learning,"Pick, Place and Build",Peg the Cards
25,FM-NURSERY-V5-P025,Core Learning,"Pick, Place and Build",Match the Lids
26,FM-NURSERY-V5-P026,Core Learning,"Pick, Place and Build",Post the Shapes
27,FM-NURSERY-V5-P027,Core Learning,"Pick, Place and Build",Build a Tower
28,FM-NURSERY-V5-P028,Core Learning,"Cut, Fold and Create",Snip the Fringe
29,FM-NURSERY-V5-P029,Core Learning,"Cut, Fold and Create",Cut the Straight Line
30,FM-NURSERY-V5-P030,Core Learning,"Cut, Fold and Create",Cut the Curve
31,FM-NURSERY-V5-P031,Core Learning,"Cut, Fold and Create",Fold in Half
32,FM-NURSERY-V5-P032,Core Learning,"Cut, Fold and Create",Fold the Corner
33,FM-NURSERY-V5-P033,Core Learning,"Cut, Fold and Create",Paste the Pieces
34,FM-NURSERY-V5-P034,Core Learning,"Cut, Fold and Create",Make a Collage
35,FM-NURSERY-V5-P035,Core Learning,"Cut, Fold and Create",Create a Crown
36,FM-NURSERY-V5-P036,Core Learning,Independent Hands,Button Practice
37,FM-NURSERY-V5-P037,Core Learning,Independent Hands,Zip It Up
38,FM-NURSERY-V5-P038,Core Learning,Independent Hands,Twist and Turn
39,FM-NURSERY-V5-P039,Core Learning,Independent Hands,Spoon and Transfer
40,FM-NURSERY-V5-P040,Core Learning,Independent Hands,Pour Carefully
41,FM-NURSERY-V5-P041,Core Learning,Independent Hands,Lace the Shoe
42,FM-NURSERY-V5-P042,Core Learning,Independent Hands,Pack My Bag
43,FM-NURSERY-V5-P043,Core Learning,Independent Hands,Fine Motor Celebration
44,FM-NURSERY-V5-P044,Back Cover,Back Matter,Back Cover
