page,page_id,artwork_status,educational_review,problem_solving_review,design_review,illustration_review,accessibility_review,publishing_review,final_decision
1,PS-NURSERY-V5-P001,not_started,pending,pending,pending,pending,pending,pending,blocked
2,PS-NURSERY-V5-P002,not_started,pending,pending,pending,pending,pending,pending,blocked
3,PS-NURSERY-V5-P003,not_started,pending,pending,pending,pending,pending,pending,blocked
4,PS-NURSERY-V5-P004,not_started,pending,pending,pending,pending,pending,pending,blocked
5,PS-NURSERY-V5-P005,not_started,pending,pending,pending,pending,pending,pending,blocked
6,PS-NURSERY-V5-P006,not_started,pending,pending,pending,pending,pending,pending,blocked
7,PS-NURSERY-V5-P007,not_started,pending,pending,pending,pending,pending,pending,blocked
8,PS-NURSERY-V5-P008,not_started,pending,pending,pending,pending,pending,pending,blocked
9,PS-NURSERY-V5-P009,not_started,pending,pending,pending,pending,pending,pending,blocked
10,PS-NURSERY-V5-P010,not_started,pending,pending,pending,pending,pending,pending,blocked
11,PS-NURSERY-V5-P011,not_started,pending,pending,pending,pending,pending,pending,blocked
12,PS-NURSERY-V5-P012,not_started,pending,pending,pending,pending,pending,pending,blocked
13,PS-NURSERY-V5-P013,not_started,pending,pending,pending,pending,pending,pending,blocked
14,PS-NURSERY-V5-P014,not_started,pending,pending,pending,pending,pending,pending,blocked
15,PS-NURSERY-V5-P015,not_started,pending,pending,pending,pending,pending,pending,blocked
16,PS-NURSERY-V5-P016,not_started,pending,pending,pending,pending,pending,pending,blocked
17,PS-NURSERY-V5-P017,not_started,pending,pending,pending,pending,pending,pending,blocked
18,PS-NURSERY-V5-P018,not_started,pending,pending,pending,pending,pending,pending,blocked
19,PS-NURSERY-V5-P019,not_started,pending,pending,pending,pending,pending,pending,blocked
20,PS-NURSERY-V5-P020,not_started,pending,pending,pending,pending,pending,pending,blocked
21,PS-NURSERY-V5-P021,not_started,pending,pending,pending,pending,pending,pending,blocked
22,PS-NURSERY-V5-P022,not_started,pending,pending,pending,pending,pending,pending,blocked
23,PS-NURSERY-V5-P023,not_started,pending,pending,pending,pending,pending,pending,blocked
24,PS-NURSERY-V5-P024,not_started,pending,pending,pending,pending,pending,pending,blocked
25,PS-NURSERY-V5-P025,not_started,pending,pending,pending,pending,pending,pending,blocked
26,PS-NURSERY-V5-P026,not_started,pending,pending,pending,pending,pending,pending,blocked
27,PS-NURSERY-V5-P027,not_started,pending,pending,pending,pending,pending,pending,blocked
28,PS-NURSERY-V5-P028,not_started,pending,pending,pending,pending,pending,pending,blocked
29,PS-NURSERY-V5-P029,not_started,pending,pending,pending,pending,pending,pending,blocked
30,PS-NURSERY-V5-P030,not_started,pending,pending,pending,pending,pending,pending,blocked
31,PS-NURSERY-V5-P031,not_started,pending,pending,pending,pending,pending,pending,blocked
32,PS-NURSERY-V5-P032,not_started,pending,pending,pending,pending,pending,pending,blocked
33,PS-NURSERY-V5-P033,not_started,pending,pending,pending,pending,pending,pending,blocked
34,PS-NURSERY-V5-P034,not_started,pending,pending,pending,pending,pending,pending,blocked
35,PS-NURSERY-V5-P035,not_started,pending,pending,pending,pending,pending,pending,blocked
36,PS-NURSERY-V5-P036,not_started,pending,pending,pending,pending,pending,pending,blocked
37,PS-NURSERY-V5-P037,not_started,pending,pending,pending,pending,pending,pending,blocked
38,PS-NURSERY-V5-P038,not_started,pending,pending,pending,pending,pending,pending,blocked
39,PS-NURSERY-V5-P039,not_started,pending,pending,pending,pending,pending,pending,blocked
40,PS-NURSERY-V5-P040,not_started,pending,pending,pending,pending,pending,pending,blocked
41,PS-NURSERY-V5-P041,not_started,pending,pending,pending,pending,pending,pending,blocked
42,PS-NURSERY-V5-P042,not_started,pending,pending,pending,pending,pending,pending,blocked
43,PS-NURSERY-V5-P043,not_started,pending,pending,pending,pending,pending,pending,blocked
44,PS-NURSERY-V5-P044,not_started,pending,pending,pending,pending,pending,pending,blocked
